movie,link,money
Senna,/title/tt1424432/?ref_=bo_se_r_1,"
$10,197,661
"
Frances Ha,/title/tt2347569/?ref_=bo_se_r_1,"
$9,019,618
"
Dogtooth,/title/tt1379182/?ref_=bo_se_r_1,"
$689,077
"
A Pigeon Sat on a Branch Reflecting on Existence,/title/tt1883180/?ref_=bo_se_r_1,"
$1,419,573
"
Katyn,/title/tt0879843/?ref_=bo_se_r_1,"
$14,768,451
"
Sympathy for Mr Vengeance,/title/tt0310775/?ref_=bo_se_r_1,"
$2,046,061
"
Still Life,/title/tt2395417/?ref_=bo_se_r_1,"
$2,495,025
"
Archipelago,/title/tt1527835/?ref_=bo_se_r_1,"
$512,636
"
Divine Intervention,/title/tt0274428/?ref_=bo_se_r_1,"
$1,675,596
"
Crimson Gold,/title/tt0371280/?ref_=bo_se_r_1,"
$400,768
"
Spider-Man 2,/title/tt0316654/?ref_=bo_se_r_1,"
$788,976,453
"
Frozen,/title/tt2294629/?ref_=bo_se_r_1,"
$1,397,042,530
"
Shaun of the Dead,/title/tt0365748/?ref_=bo_se_r_1,"
$38,649,825
"
Shame,/title/tt1723811/?ref_=bo_se_r_1,"
$19,123,767
"
Head-On,/title/tt0347048/?ref_=bo_se_r_1,"
$11,065,801
"
Sideways,/title/tt0375063/?ref_=bo_se_r_1,"
$109,706,931
"
Dogville,/title/tt0276919/?ref_=bo_se_r_1,"
$16,690,617
"
Short Term 12,/title/tt2370248/?ref_=bo_se_r_1,"
$1,645,164
"
Blue Valentine,/title/tt1120985/?ref_=bo_se_r_1,"
$15,440,333
"
The Squid and the Whale,/title/tt0367089/?ref_=bo_se_r_1,"
$11,098,131
"
Jersey Boys,/title/tt1742044/?ref_=bo_se_r_1,"
$67,647,013
"
Nine Queens,/title/tt0247586/?ref_=bo_se_r_1,"
$12,413,888
"
Mia Madre,/title/tt0381392/?ref_=bo_se_r_1,"
$1,510,052
"
"Right Now, Wrong Then",/title/tt4768776/?ref_=bo_se_r_1,"
$680,728
"
Adventureland,/title/tt1091722/?ref_=bo_se_r_1,"
$17,164,820
"
Open Range,/title/tt0316356/?ref_=bo_se_r_1,"
$68,296,293
"
In Jackson Heights,/title/tt4936064/?ref_=bo_se_r_1,"
$121,094
"
Love Exposure,/title/tt1128075/?ref_=bo_se_r_1,"
                        
                            
                                –
                            
                            
                        
                    "
Sicario,/title/tt3397884/?ref_=bo_se_r_1,"
$84,997,446
"
No,/title/tt15671028/?ref_=bo_se_r_1,"
$87,256,407
"
Whiplash,/title/tt2582802/?ref_=bo_se_r_1,"
$49,440,684
"
Animal Kingdom,/title/tt1313092/?ref_=bo_se_r_1,"
$7,209,912
"
Apocalypto,/title/tt0472043/?ref_=bo_se_r_1,"
$120,673,227
"
Three Monkeys,/title/tt1233381/?ref_=bo_se_r_1,"
$1,977,780
"
Listen to Me Marlon,/title/tt4145178/?ref_=bo_se_r_1,"
$516,337
"
Talladega Nights: The Ballad of Ricky Bobby,/title/tt0415306/?ref_=bo_se_r_1,"
$163,362,095
"
Centochiodi,/title/tt0985597/?ref_=bo_se_r_1,"
$3,536,561
"
United 93,/title/tt0475276/?ref_=bo_se_r_1,"
$76,700,659
"
Bridesmaids,/title/tt1478338/?ref_=bo_se_r_1,"
$306,442,085
"
The Look of Silence,/title/tt3521134/?ref_=bo_se_r_1,"
$157,857
"
Punch-Drunk Love,/title/tt0272338/?ref_=bo_se_r_1,"
$24,675,714
"
We Need to Talk About Kevin,/title/tt1242460/?ref_=bo_se_r_1,"
$9,232,318
"
Chuck & Buck,/title/tt0200530/?ref_=bo_se_r_1,"
$1,182,065
"
Gladiator,/title/tt0172495/?ref_=bo_se_r_1,"
$503,162,313
"
The Century of the Self,/title/tt10948718/?ref_=bo_se_r_1,"
$7,627,100
"
Munich,/title/tt0408306/?ref_=bo_se_r_1,"
$130,982,129
"
Lilya 4-Ever,/title/tt0300140/?ref_=bo_se_r_1,"
$1,007,747
"
Femme Fatale,/title/tt0280665/?ref_=bo_se_r_1,"
$16,838,910
"
This Is Not a Film,/title/tt1667905/?ref_=bo_se_r_1,"
$88,758
"
